Year	Millions
1991	1.70
1992	1.70
1993	1.60
1994	1.70
1995	1.80
1996	1.80
1997	1.90
1998	2.80
1999	3.10
2000	3.30
2001	3.30
2002	3.40
2003	3.40
2004	3.40
2005	3.20
2006	3.70
2007	3.20
2008	2.70
2009	2.50
2010	2.50
2011	2.60
2012	2.80
2013	2.70
2014	2.70
